Materiale,Colore,Manica,Stagione,time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese
lino,chiaro,corta,estate,2022-12-08,nuvoloso,0.7499999999999998,inverno,dicembre
raso,colorato,corta,estate,2022-07-03,pioggia,26.450000000000003,estate,luglio
lino,chiaro,corta,primavera_estate,2022-11-01,nuvoloso,14.0,autunno,novembre
raso,chiaro,corta,estate,2022-12-07,nuvoloso,4.25,inverno,dicembre
lino,colorato,corta,primavera,2022-06-15,pioggia,16.1,estate,giugno
seta,colorato,lunga,estate,2022-09-27,nuvoloso,14.6,autunno,settembre
seta,scuro,lunga,primavera_estate,2022-11-17,pioggia,20.8,autunno,novembre
seta,scuro,lunga,estate,2022-03-09,soleggiato,-1.4500000000000002,primavera,marzo
raso,scuro,lunga,estate,2022-03-06,pioggia,4.5,primavera,marzo
seta,scuro,lunga,primavera_estate,2022-01-07,nuvoloso,6.800000000000001,inverno,gennaio
seta,colorato,corta,primavera,2022-08-19,pioggia,26.9,estate,agosto
seta,chiaro,lunga,primavera_estate,2022-11-01,nuvoloso,14.65,autunno,novembre
lino,chiaro,lunga,estate,2022-10-04,pioggia,24.5,autunno,ottobre
seta,scuro,lunga,estate,2022-04-18,soleggiato,10.2,primavera,aprile
seta,scuro,corta,primavera,2022-10-02,soleggiato,18.75,autunno,ottobre
seta,chiaro,lunga,primavera_estate,2022-06-15,pioggia,28.5,estate,giugno
raso,colorato,corta,primavera_estate,2022-08-30,soleggiato,27.0,estate,agosto
seta,colorato,corta,primavera,2022-12-01,soleggiato,8.8,inverno,dicembre
raso,scuro,corta,primavera_estate,2022-11-18,pioggia,11.85,autunno,novembre
lino,scuro,corta,estate,2022-04-24,pioggia,11.4,primavera,aprile
lino,colorato,lunga,estate,2022-06-10,soleggiato,13.3,estate,giugno
lino,colorato,lunga,primavera,2022-04-17,pioggia,14.05,primavera,aprile
seta,chiaro,corta,estate,2022-08-09,pioggia,28.4,estate,agosto
raso,scuro,lunga,primavera_estate,2022-08-26,pioggia,29.65,estate,agosto
seta,scuro,lunga,primavera_estate,2022-04-17,soleggiato,8.05,primavera,aprile
seta,chiaro,corta,primavera_estate,2022-05-09,pioggia,17.6,primavera,maggio
seta,scuro,lunga,primavera,2022-06-08,pioggia,17.7,estate,giugno
seta,chiaro,corta,primavera,2022-09-18,soleggiato,14.85,autunno,settembre
seta,scuro,corta,primavera,2022-06-08,pioggia,24.1,estate,giugno
lino,scuro,lunga,primavera,2022-07-22,soleggiato,33.85,estate,luglio
seta,colorato,corta,primavera_estate,2022-06-20,pioggia,25.2,estate,giugno
raso,colorato,lunga,estate,2022-02-02,soleggiato,8.7,inverno,febbraio
raso,scuro,lunga,estate,2022-09-29,pioggia,24.3,autunno,settembre
raso,chiaro,corta,estate,2022-10-04,pioggia,14.1,autunno,ottobre
lino,colorato,corta,primavera,2022-04-10,soleggiato,7.95,primavera,aprile
seta,chiaro,lunga,primavera,2022-06-01,pioggia,12.55,estate,giugno
seta,scuro,lunga,primavera_estate,2022-09-18,soleggiato,16.95,autunno,settembre
seta,chiaro,lunga,estate,2022-03-12,soleggiato,2.35,primavera,marzo
seta,colorato,corta,primavera_estate,2022-04-13,soleggiato,12.9,primavera,aprile
seta,chiaro,corta,primavera_estate,2022-08-09,pioggia,29.55,estate,agosto
seta,colorato,corta,estate,2022-12-19,nuvoloso,13.15,inverno,dicembre
raso,colorato,lunga,primavera_estate,2022-06-04,nuvoloso,26.75,estate,giugno
raso,chiaro,corta,primavera,2022-06-23,pioggia,26.0,estate,giugno
raso,scuro,corta,estate,2022-08-09,pioggia,35.3,estate,agosto
lino,colorato,corta,primavera_estate,2022-12-07,pioggia,11.35,inverno,dicembre
seta,colorato,corta,primavera_estate,2022-01-22,soleggiato,2.0500000000000003,inverno,gennaio
seta,colorato,corta,estate,2022-01-15,soleggiato,5.75,inverno,gennaio
raso,colorato,corta,estate,2022-11-22,pioggia,5.65,autunno,novembre
lino,chiaro,corta,estate,2022-11-02,soleggiato,17.35,autunno,novembre
lino,colorato,lunga,estate,2022-09-05,soleggiato,27.05,autunno,settembre
seta,colorato,lunga,primavera,2022-10-26,soleggiato,23.15,autunno,ottobre
seta,chiaro,corta,primavera,2022-07-17,pioggia,32.55,estate,luglio
seta,scuro,corta,estate,2022-02-14,soleggiato,9.95,inverno,febbraio
raso,chiaro,corta,estate,2022-06-28,soleggiato,33.35,estate,giugno
lino,chiaro,lunga,estate,2022-08-28,pioggia,28.450000000000003,estate,agosto
lino,chiaro,corta,primavera_estate,2022-09-06,soleggiato,28.5,autunno,settembre
raso,chiaro,corta,primavera_estate,2022-11-26,soleggiato,6.55,autunno,novembre
lino,chiaro,corta,primavera,2022-06-19,soleggiato,25.0,estate,giugno
seta,scuro,lunga,primavera_estate,2022-06-22,soleggiato,27.3,estate,giugno
raso,scuro,corta,primavera,2022-04-21,pioggia,9.0,primavera,aprile
seta,chiaro,corta,primavera,2022-06-23,pioggia,27.1,estate,giugno
seta,scuro,lunga,primavera,2022-07-27,pioggia,29.0,estate,luglio
raso,chiaro,lunga,primavera,2022-08-13,pioggia,24.9,estate,agosto
seta,chiaro,lunga,estate,2022-08-08,soleggiato,30.65,estate,agosto
raso,chiaro,lunga,estate,2022-06-06,soleggiato,25.35,estate,giugno
lino,scuro,corta,primavera_estate,2022-05-04,pioggia,10.75,primavera,maggio
seta,scuro,corta,estate,2022-09-02,pioggia,22.95,autunno,settembre
lino,scuro,lunga,estate,2022-10-20,pioggia,14.5,autunno,ottobre
lino,colorato,corta,estate,2022-08-25,pioggia,27.9,estate,agosto
raso,colorato,lunga,primavera_estate,2022-08-12,pioggia,24.35,estate,agosto
raso,chiaro,corta,primavera,2022-04-05,soleggiato,9.45,primavera,aprile
seta,scuro,lunga,estate,2022-11-02,soleggiato,19.05,autunno,novembre
seta,scuro,lunga,estate,2022-04-20,pioggia,7.55,primavera,aprile
seta,chiaro,lunga,primavera_estate,2022-07-13,soleggiato,24.9,estate,luglio
lino,colorato,lunga,primavera,2022-04-05,pioggia,6.0,primavera,aprile
raso,colorato,corta,estate,2022-03-18,soleggiato,6.9,primavera,marzo
seta,chiaro,corta,primavera_estate,2022-05-05,pioggia,6.2,primavera,maggio
seta,chiaro,lunga,primavera,2022-10-16,nuvoloso,20.15,autunno,ottobre
lino,scuro,lunga,estate,2022-07-14,soleggiato,28.45,estate,luglio
raso,chiaro,lunga,primavera_estate,2022-11-03,pioggia,16.0,autunno,novembre
raso,chiaro,lunga,estate,2022-12-18,soleggiato,2.3,inverno,dicembre
seta,chiaro,lunga,estate,2022-06-10,soleggiato,23.7,estate,giugno
seta,chiaro,lunga,estate,2022-07-13,nuvoloso,16.85,estate,luglio
seta,colorato,lunga,estate,2022-09-23,soleggiato,15.05,autunno,settembre
raso,colorato,corta,primavera_estate,2022-07-20,soleggiato,27.5,estate,luglio
lino,chiaro,corta,primavera,2022-01-06,soleggiato,-4.7,inverno,gennaio
seta,colorato,corta,primavera,2022-08-14,soleggiato,26.0,estate,agosto
raso,scuro,corta,estate,2022-09-10,pioggia,21.05,autunno,settembre
lino,colorato,lunga,estate,2022-04-21,pioggia,13.5,primavera,aprile
lino,colorato,corta,primavera,2022-03-04,neve,-4.7,primavera,marzo
seta,chiaro,lunga,primavera,2022-05-22,soleggiato,24.2,primavera,maggio
lino,colorato,lunga,estate,2022-06-09,pioggia,9.5,estate,giugno
seta,colorato,lunga,primavera_estate,2022-02-23,soleggiato,8.35,inverno,febbraio
seta,scuro,corta,estate,2022-09-01,pioggia,24.15,autunno,settembre
lino,chiaro,lunga,primavera,2022-07-13,soleggiato,26.0,estate,luglio
raso,chiaro,corta,estate,2022-11-29,nuvoloso,7.399999999999999,autunno,novembre
seta,colorato,corta,estate,2022-03-27,soleggiato,10.65,primavera,marzo
lino,colorato,lunga,primavera,2022-09-02,soleggiato,22.35,autunno,settembre
seta,scuro,lunga,primavera,2022-02-06,nuvoloso,2.85,inverno,febbraio
seta,scuro,lunga,primavera_estate,2022-02-28,pioggia,2.25,inverno,febbraio
seta,chiaro,lunga,primavera,2022-02-17,soleggiato,4.8500000000000005,inverno,febbraio
seta,chiaro,corta,primavera_estate,2022-02-11,soleggiato,7.15,inverno,febbraio
lino,colorato,lunga,estate,2022-01-13,soleggiato,-2.8,inverno,gennaio
lino,colorato,lunga,primavera,2022-08-22,soleggiato,15.2,estate,agosto
raso,scuro,corta,primavera,2022-06-27,soleggiato,33.2,estate,giugno
lino,chiaro,corta,primavera_estate,2022-07-02,soleggiato,28.4,estate,luglio
seta,scuro,lunga,estate,2022-03-11,nuvoloso,3.35,primavera,marzo
seta,chiaro,lunga,primavera_estate,2022-07-28,pioggia,17.45,estate,luglio
lino,colorato,corta,primavera,2022-10-25,pioggia,18.8,autunno,ottobre
lino,chiaro,lunga,estate,2022-03-15,soleggiato,8.700000000000001,primavera,marzo
seta,colorato,lunga,primavera_estate,2022-04-19,soleggiato,4.1,primavera,aprile
seta,chiaro,lunga,primavera_estate,2022-05-24,pioggia,24.0,primavera,maggio
raso,colorato,lunga,primavera_estate,2022-03-17,nuvoloso,9.2,primavera,marzo
seta,chiaro,lunga,primavera_estate,2022-05-08,pioggia,16.3,primavera,maggio
lino,scuro,lunga,primavera_estate,2022-10-17,soleggiato,16.1,autunno,ottobre
raso,scuro,lunga,primavera_estate,2022-01-02,nuvoloso,2.75,inverno,gennaio
seta,colorato,corta,primavera,2022-09-22,soleggiato,14.85,autunno,settembre
seta,chiaro,lunga,estate,2022-11-23,pioggia,15.4,autunno,novembre
seta,scuro,lunga,estate,2022-09-01,pioggia,24.5,autunno,settembre
seta,colorato,lunga,estate,2022-05-15,nuvoloso,18.85,primavera,maggio
seta,colorato,lunga,primavera,2022-07-30,pioggia,26.6,estate,luglio
seta,chiaro,corta,primavera_estate,2022-03-23,soleggiato,8.05,primavera,marzo
seta,colorato,lunga,estate,2022-12-21,pioggia,9.3,inverno,dicembre
raso,colorato,lunga,primavera,2022-10-10,pioggia,22.0,autunno,ottobre
lino,scuro,lunga,estate,2022-03-31,pioggia,10.8,primavera,marzo
seta,chiaro,lunga,primavera_estate,2022-10-16,soleggiato,18.55,autunno,ottobre
seta,chiaro,corta,estate,2022-03-07,pioggia,7.699999999999999,primavera,marzo
raso,colorato,corta,primavera_estate,2022-06-12,soleggiato,28.1,estate,giugno
seta,colorato,lunga,primavera_estate,2022-10-22,pioggia,20.7,autunno,ottobre
raso,chiaro,corta,primavera,2022-08-08,soleggiato,28.75,estate,agosto
raso,scuro,corta,primavera,2022-03-29,nuvoloso,15.0,primavera,marzo
lino,scuro,corta,primavera_estate,2022-05-31,pioggia,19.25,primavera,maggio
lino,colorato,corta,primavera_estate,2022-08-18,soleggiato,31.55,estate,agosto
lino,scuro,lunga,primavera_estate,2022-04-14,soleggiato,13.0,primavera,aprile
seta,chiaro,lunga,primavera_estate,2022-11-06,soleggiato,13.05,autunno,novembre
raso,colorato,corta,estate,2022-05-08,pioggia,12.75,primavera,maggio
raso,scuro,lunga,estate,2022-08-28,pioggia,17.05,estate,agosto
seta,chiaro,lunga,primavera_estate,2022-09-07,pioggia,21.950000000000003,autunno,settembre
lino,scuro,lunga,primavera_estate,2022-11-14,pioggia,11.6,autunno,novembre
raso,chiaro,corta,estate,2022-03-25,soleggiato,9.05,primavera,marzo
seta,chiaro,corta,primavera,2022-04-19,soleggiato,10.35,primavera,aprile
seta,colorato,lunga,primavera_estate,2022-03-16,soleggiato,9.6,primavera,marzo
raso,chiaro,corta,primavera,2022-08-26,pioggia,28.55,estate,agosto
seta,chiaro,lunga,estate,2022-11-28,nuvoloso,8.1,autunno,novembre
raso,scuro,lunga,primavera,2022-09-19,soleggiato,19.25,autunno,settembre
raso,scuro,corta,primavera,2022-12-05,pioggia,13.2,inverno,dicembre
lino,colorato,lunga,primavera,2022-06-26,soleggiato,31.0,estate,giugno
lino,chiaro,corta,primavera,2022-01-16,soleggiato,4.65,inverno,gennaio
seta,scuro,lunga,primavera,2022-01-23,soleggiato,-6.2,inverno,gennaio
lino,chiaro,lunga,primavera_estate,2022-02-06,pioggia,3.1,inverno,febbraio
raso,scuro,corta,primavera_estate,2022-12-01,soleggiato,7.2,inverno,dicembre
raso,chiaro,corta,estate,2022-10-05,soleggiato,19.0,autunno,ottobre
raso,chiaro,corta,primavera_estate,2022-09-11,pioggia,11.55,autunno,settembre
seta,chiaro,lunga,estate,2022-03-11,nuvoloso,1.2,primavera,marzo
lino,colorato,lunga,primavera_estate,2022-04-29,soleggiato,14.8,primavera,aprile
seta,scuro,lunga,estate,2022-03-11,soleggiato,8.65,primavera,marzo
seta,colorato,corta,primavera,2022-02-25,neve,-2.85,inverno,febbraio
raso,colorato,corta,primavera_estate,2022-02-07,soleggiato,3.5,inverno,febbraio
lino,colorato,lunga,primavera,2022-06-14,pioggia,20.15,estate,giugno
seta,chiaro,lunga,estate,2022-09-01,nuvoloso,23.65,autunno,settembre
seta,colorato,lunga,primavera_estate,2022-04-02,pioggia,3.7,primavera,aprile
seta,chiaro,lunga,estate,2022-06-09,pioggia,20.8,estate,giugno
seta,scuro,lunga,estate,2022-05-21,soleggiato,22.05,primavera,maggio
raso,scuro,lunga,primavera_estate,2022-03-02,soleggiato,1.65,primavera,marzo
seta,scuro,lunga,estate,2022-04-11,soleggiato,-1.5499999999999998,primavera,aprile
raso,scuro,corta,primavera_estate,2022-04-05,pioggia,9.9,primavera,aprile
raso,colorato,lunga,primavera_estate,2022-06-19,pioggia,19.1,estate,giugno
lino,scuro,corta,primavera,2022-09-23,soleggiato,14.85,autunno,settembre
raso,scuro,corta,primavera_estate,2022-01-16,soleggiato,9.3,inverno,gennaio
