Tipo,Antiscivolo,Impermeabile,Colore,Stagione,Meteo,TemperaturaPercepita,StagionePrevisione
scarpa da ginnastica,n,n,scuro,autunno_inverno,pioggia,10,autunno
scarpa da ginnastica,n,n,scuro,autunno_inverno,pioggia,8,primavera
scarpa da ginnastica,y,y,Chiaro,all,pioggia,6,primavera
scarpa da ginnastica,y,y,scuro,autunno_inverno,soleggiato,15,primavera
scarpa da ginnastica,n,n,Chiaro,primavera_estate,pioggia,26,autunno
scarpa da ginnastica,y,y,colorato,primavera_estate,soleggiato,2,inverno
scarpa da ginnastica,n,y,colorato,all,pioggia,20,primavera
scarpa da ginnastica,n,n,colorato,estate,soleggiato,31,estate
scarpa da ginnastica,n,n,Chiaro,inverno,pioggia,1,primavera
scarpa classica,n,n,colorato,all,soleggiato,17,primavera
scarpe aperte,y,n,scuro,estate,soleggiato,11,primavera
scarpe aperte,y,n,scuro,primavera,pioggia,14,autunno
scarpe aperte,n,n,Chiaro,primavera,pioggia,9,inverno
scarpe aperte,n,n,colorato,primavera,soleggiato,26,estate
scarpa da ginnastica,y,y,Chiaro,all,pioggia,23,primavera
stivaletto alla caviglia,n,y,Chiaro,autunno,soleggiato,18,autunno
stivaletto alla caviglia,n,y,scuro,inverno,pioggia,30,estate
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,19,primavera
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,3,inverno
scarpa da ginnastica,y,n,colorato,estate,pioggia,20,autunno
stivaletto alla caviglia,n,n,scuro,inverno,soleggiato,27,estate
scarpa da ginnastica,n,y,Chiaro,primavera_estate,soleggiato,11,primavera
scarpa da ginnastica,y,y,Chiaro,autunno_inverno,pioggia,-5,primavera
scarpa da ginnastica,n,y,colorato,primavera_estate,pioggia,25,estate
scarpe aperte,y,n,scuro,estate,soleggiato,0,inverno
scarpe con tacchi,n,n,colorato,estate,pioggia,16,autunno
scarpa da ginnastica,y,y,colorato,estate,pioggia,26,estate
scarpa da ginnastica,n,n,Chiaro,all,pioggia,24,estate
scarpa da ginnastica,y,n,scuro,estate,soleggiato,18,autunno
scarpa da ginnastica,y,n,scuro,autunno_inverno,pioggia,28,estate
scarpa da ginnastica,y,n,scuro,inverno,soleggiato,14,primavera
scarpa da ginnastica,n,n,colorato,all,soleggiato,11,autunno
scarpa da ginnastica,y,n,scuro,inverno,nuvoloso,0,inverno
scarpa da ginnastica,y,y,Chiaro,estate,soleggiato,11,primavera
scarpa da ginnastica,y,y,Chiaro,all,nuvoloso,8,inverno
scarpa classica,n,y,scuro,inverno,soleggiato,27,estate
scarpa da ginnastica,y,n,Chiaro,autunno_inverno,soleggiato,28,estate
scarpa classica,n,y,colorato,autunno_inverno,nuvoloso,16,autunno
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,9,inverno
scarpa classica,n,y,scuro,autunno_inverno,soleggiato,31,estate
scarpa da ginnastica,n,y,Chiaro,all,pioggia,27,estate
anfibi,n,y,scuro,inverno,soleggiato,7,primavera
scarpa da ginnastica,n,y,colorato,autunno_inverno,neve,-3,inverno
scarpa da ginnastica,n,n,colorato,autunno_inverno,soleggiato,30,estate
scarpa da ginnastica,y,n,Chiaro,primavera_estate,nuvoloso,30,estate
scarpa da ginnastica,y,n,colorato,inverno,pioggia,4,primavera
scarpe aperte,n,n,colorato,estate,pioggia,-2,primavera
stivaletto alla caviglia,n,n,scuro,autunno,pioggia,24,estate
scarpa da ginnastica,y,n,colorato,estate,soleggiato,3,inverno
stivaletto alla caviglia,n,y,Chiaro,inverno,soleggiato,32,estate
scarpa da ginnastica,y,y,colorato,inverno,nuvoloso,2,primavera
scarpe con tacchi,n,n,Chiaro,primavera_estate,pioggia,34,estate
scarpa da ginnastica,n,n,Chiaro,all,soleggiato,36,estate
scarpa da ginnastica,y,n,colorato,primavera_estate,soleggiato,29,estate
scarpa da ginnastica,y,n,Chiaro,autunno_inverno,nuvoloso,-3,primavera
scarpa da ginnastica,y,n,scuro,inverno,soleggiato,5,primavera
scarpa da ginnastica,n,n,Chiaro,primavera_estate,pioggia,3,autunno
scarpa da ginnastica,y,y,scuro,autunno_inverno,soleggiato,30,estate
scarpa da ginnastica,y,n,scuro,autunno_inverno,nuvoloso,16,primavera
scarpa da ginnastica,n,n,scuro,inverno,soleggiato,4,primavera
scarpa da ginnastica,n,n,colorato,inverno,nuvoloso,10,primavera
scarpa da ginnastica,n,y,colorato,all,neve,0,inverno
scarpa da ginnastica,y,n,scuro,inverno,pioggia,13,inverno
scarpa da ginnastica,n,y,scuro,autunno_inverno,soleggiato,17,autunno
scarpa da ginnastica,y,n,Chiaro,all,soleggiato,8,primavera
scarpa da ginnastica,n,n,scuro,autunno_inverno,soleggiato,24,autunno
scarpa da ginnastica,y,n,scuro,inverno,pioggia,11,autunno
scarpa da ginnastica,y,y,Chiaro,autunno_inverno,nuvoloso,19,autunno
scarpe con tacchi,n,n,Chiaro,inverno,soleggiato,11,primavera
scarpa da ginnastica,y,n,Chiaro,autunno_inverno,pioggia,25,estate
scarpa da ginnastica,y,y,scuro,autunno_inverno,soleggiato,5,inverno
scarpa da ginnastica,y,n,scuro,autunno_inverno,neve,0,primavera
scarpa da ginnastica,n,y,Chiaro,all,pioggia,9,inverno
scarpa da ginnastica,y,n,colorato,primavera_estate,neve,3,primavera
scarpa da ginnastica,n,y,Chiaro,estate,nuvoloso,3,inverno
scarpa da ginnastica,y,n,Chiaro,inverno,pioggia,8,primavera
scarpa da ginnastica,n,y,Chiaro,primavera_estate,pioggia,4,inverno
scarpa da ginnastica,n,y,colorato,estate,soleggiato,30,estate
scarpa da ginnastica,y,y,colorato,primavera_estate,pioggia,8,primavera
scarpa da ginnastica,y,n,scuro,estate,soleggiato,16,primavera
scarpa da ginnastica,n,n,Chiaro,estate,soleggiato,28,estate
scarpa da ginnastica,n,n,scuro,autunno_inverno,soleggiato,21,autunno
scarpa classica,n,y,Chiaro,all,nuvoloso,1,inverno
scarpa da ginnastica,y,n,colorato,estate,neve,2,primavera
scarpa da ginnastica,n,y,colorato,autunno_inverno,soleggiato,5,inverno
scarpa da ginnastica,y,y,Chiaro,inverno,pioggia,13,inverno
scarpa da ginnastica,y,y,colorato,primavera_estate,pioggia,28,estate
stivaletto alla caviglia,y,y,colorato,inverno,pioggia,14,inverno
scarpa classica,n,y,Chiaro,all,pioggia,29,estate
scarpa da ginnastica,y,y,Chiaro,inverno,soleggiato,19,autunno
anfibi,y,y,Chiaro,autunno_inverno,soleggiato,28,estate
scarpe aperte,n,n,scuro,primavera_estate,soleggiato,28,estate
stivaletto alla caviglia,y,n,Chiaro,inverno,pioggia,18,primavera
scarpa da ginnastica,n,y,colorato,all,pioggia,23,estate
scarpa da ginnastica,y,y,colorato,primavera_estate,soleggiato,5,inverno
scarpa da ginnastica,y,y,Chiaro,primavera_estate,nuvoloso,18,primavera
anfibi,n,y,scuro,autunno,pioggia,12,inverno
scarpa da ginnastica,y,y,Chiaro,autunno_inverno,soleggiato,23,primavera
scarpa classica,y,y,Chiaro,autunno_inverno,pioggia,16,estate
scarpa classica,y,n,scuro,all,neve,-2,autunno
scarpa da ginnastica,y,y,colorato,primavera_estate,pioggia,8,inverno
anfibi,n,y,colorato,inverno,pioggia,28,estate
scarpa da ginnastica,n,n,colorato,autunno_inverno,nuvoloso,18,autunno
scarpa da ginnastica,n,y,Chiaro,estate,soleggiato,22,estate
stivaletto alla caviglia,n,y,colorato,autunno_inverno,nuvoloso,6,primavera
scarpe con tacchi,n,n,scuro,primavera_estate,soleggiato,8,primavera
stivaletto alla caviglia,y,y,scuro,autunno_inverno,pioggia,11,inverno
anfibi,y,n,Chiaro,inverno,soleggiato,11,autunno
anfibi,n,n,scuro,inverno,pioggia,21,primavera
stivaletto alla caviglia,y,y,colorato,autunno,nuvoloso,11,primavera
scarpa da ginnastica,n,n,colorato,primavera_estate,pioggia,16,primavera
scarpa da ginnastica,y,n,scuro,estate,pioggia,2,inverno
scarpa da ginnastica,y,n,colorato,inverno,soleggiato,30,estate
scarpa da ginnastica,y,y,Chiaro,estate,pioggia,17,primavera
scarpa da ginnastica,y,y,Chiaro,all,nuvoloso,15,primavera
scarpa da ginnastica,y,n,Chiaro,primavera_estate,soleggiato,28,estate
scarpa da ginnastica,y,n,Chiaro,inverno,pioggia,14,autunno
scarpa da ginnastica,y,n,scuro,autunno_inverno,pioggia,16,autunno
scarpa da ginnastica,n,n,scuro,estate,pioggia,17,autunno
scarpa da ginnastica,n,n,scuro,inverno,soleggiato,17,autunno
scarpa da ginnastica,y,n,scuro,primavera_estate,pioggia,4,inverno
scarpa da ginnastica,n,n,Chiaro,autunno_inverno,pioggia,19,autunno
scarpa da ginnastica,y,n,colorato,all,soleggiato,-1,inverno
scarpe aperte,y,n,scuro,primavera_estate,pioggia,17,estate
scarpa da ginnastica,y,y,scuro,estate,pioggia,28,estate
scarpa da ginnastica,y,y,colorato,primavera_estate,soleggiato,25,estate
stivaletto alla caviglia,y,n,Chiaro,autunno,soleggiato,25,estate
scarpa da ginnastica,y,n,Chiaro,autunno_inverno,soleggiato,19,autunno
scarpa da ginnastica,y,n,scuro,all,soleggiato,15,primavera
scarpa da ginnastica,y,n,Chiaro,inverno,soleggiato,22,primavera
scarpe con tacchi,n,n,colorato,primavera_estate,soleggiato,-1,primavera
stivaletto alla caviglia,n,n,Chiaro,inverno,pioggia,15,autunno
scarpa da ginnastica,y,n,scuro,all,soleggiato,32,estate
scarpa da ginnastica,y,n,Chiaro,inverno,nuvoloso,4,autunno
scarpe con tacchi,y,n,colorato,autunno_inverno,pioggia,28,estate
scarpe con tacchi,y,n,Chiaro,primavera_estate,nuvoloso,16,primavera
scarpa da ginnastica,y,n,colorato,primavera_estate,soleggiato,27,estate
scarpe aperte,n,n,Chiaro,primavera,soleggiato,23,primavera
scarpa da ginnastica,y,y,scuro,estate,pioggia,30,autunno
scarpa da ginnastica,n,y,scuro,estate,pioggia,3,inverno
anfibi,n,y,Chiaro,autunno,soleggiato,3,inverno
anfibi,n,y,colorato,autunno_inverno,pioggia,9,autunno
scarpa da ginnastica,y,y,scuro,inverno,pioggia,27,estate
scarpa da ginnastica,y,y,Chiaro,all,pioggia,12,autunno
scarpa da ginnastica,n,n,colorato,primavera_estate,pioggia,19,estate
stivaletto alla caviglia,y,y,colorato,inverno,pioggia,17,autunno
scarpa da ginnastica,y,n,colorato,inverno,soleggiato,17,autunno
scarpa da ginnastica,n,n,colorato,all,soleggiato,14,primavera
scarpa da ginnastica,y,n,colorato,all,soleggiato,-2,inverno
scarpa da ginnastica,y,y,scuro,all,soleggiato,3,primavera
scarpa da ginnastica,n,n,colorato,inverno,nuvoloso,8,inverno
scarpa da ginnastica,y,n,colorato,estate,nuvoloso,6,inverno
stivaletto alla caviglia,y,n,scuro,autunno_inverno,nuvoloso,15,primavera
stivaletto alla caviglia,n,n,scuro,autunno,nuvoloso,23,autunno
scarpa da ginnastica,n,n,scuro,estate,neve,-8,primavera
scarpa da ginnastica,y,y,Chiaro,autunno_inverno,soleggiato,1,inverno
scarpe aperte,n,n,scuro,primavera_estate,pioggia,10,primavera
scarpe con tacchi,n,n,colorato,autunno_inverno,pioggia,24,estate
scarpa da ginnastica,n,n,colorato,primavera_estate,nuvoloso,21,primavera
scarpa classica,n,y,Chiaro,all,soleggiato,3,primavera
scarpa classica,n,y,scuro,inverno,pioggia,14,primavera
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,11,autunno
scarpa da ginnastica,n,y,scuro,estate,neve,7,autunno
scarpa da ginnastica,n,y,colorato,primavera_estate,pioggia,15,inverno
scarpa da ginnastica,n,y,Chiaro,primavera_estate,soleggiato,20,primavera
stivaletto alla caviglia,y,n,colorato,autunno_inverno,pioggia,11,primavera
stivaletto alla caviglia,n,y,Chiaro,inverno,soleggiato,18,primavera
scarpa da ginnastica,y,y,scuro,inverno,pioggia,18,primavera
stivaletto alla caviglia,y,y,Chiaro,inverno,nuvoloso,5,inverno
scarpa da ginnastica,n,n,scuro,estate,soleggiato,3,inverno
scarpa da ginnastica,n,y,scuro,primavera_estate,neve,8,inverno
scarpa da ginnastica,n,y,colorato,all,pioggia,15,primavera
scarpa da ginnastica,y,n,colorato,primavera_estate,soleggiato,34,autunno
scarpa da ginnastica,y,y,colorato,primavera_estate,neve,4,autunno
scarpa da ginnastica,y,n,Chiaro,primavera_estate,nuvoloso,31,estate
scarpa da ginnastica,y,n,colorato,estate,nuvoloso,19,autunno
stivaletto alla caviglia,y,n,colorato,inverno,pioggia,18,estate
scarpa da ginnastica,y,n,Chiaro,all,pioggia,5,inverno
stivaletto alla caviglia,n,n,Chiaro,autunno_inverno,soleggiato,13,autunno
scarpa da ginnastica,n,n,Chiaro,primavera_estate,nuvoloso,11,inverno
scarpa classica,n,n,colorato,all,soleggiato,9,primavera
scarpe aperte,y,n,colorato,primavera,pioggia,14,estate
scarpa da ginnastica,y,y,colorato,estate,pioggia,16,primavera
scarpa da ginnastica,y,n,colorato,inverno,soleggiato,34,estate
scarpa da ginnastica,y,n,scuro,autunno_inverno,pioggia,2,inverno
scarpa classica,n,n,Chiaro,primavera_estate,soleggiato,11,primavera
scarpa da ginnastica,y,y,colorato,all,pioggia,30,estate
scarpa classica,n,n,colorato,inverno,soleggiato,26,autunno
scarpa da ginnastica,y,y,Chiaro,primavera_estate,soleggiato,11,primavera
scarpa da ginnastica,y,n,Chiaro,autunno_inverno,nuvoloso,9,primavera
scarpa da ginnastica,y,y,scuro,autunno_inverno,pioggia,12,primavera
scarpa da ginnastica,y,y,Chiaro,primavera_estate,pioggia,22,estate
scarpa da ginnastica,n,n,scuro,inverno,soleggiato,24,estate
scarpa da ginnastica,y,n,Chiaro,estate,soleggiato,4,primavera
scarpa da ginnastica,n,y,scuro,inverno,pioggia,33,estate
stivaletto alla caviglia,n,y,colorato,inverno,pioggia,20,autunno
stivaletto alla caviglia,y,n,scuro,autunno_inverno,nuvoloso,2,inverno
stivaletto alla caviglia,n,y,scuro,autunno_inverno,nuvoloso,20,primavera
stivaletto alla caviglia,n,n,Chiaro,autunno,soleggiato,7,primavera
stivaletto alla caviglia,n,n,Chiaro,autunno,pioggia,23,primavera
scarpe aperte,n,n,Chiaro,primavera_estate,soleggiato,15,primavera
scarpa classica,y,y,Chiaro,primavera_estate,soleggiato,7,inverno
scarpa da ginnastica,y,y,Chiaro,autunno_inverno,pioggia,13,autunno
stivaletto alla caviglia,n,y,scuro,autunno_inverno,soleggiato,28,estate
scarpa da ginnastica,y,n,colorato,all,pioggia,9,primavera
scarpa da ginnastica,y,n,Chiaro,autunno_inverno,pioggia,26,autunno
stivaletto alla caviglia,y,n,colorato,inverno,soleggiato,23,autunno
stivaletto alla caviglia,y,n,Chiaro,autunno_inverno,soleggiato,2,inverno
scarpa da ginnastica,y,n,colorato,inverno,pioggia,15,autunno
stivaletto alla caviglia,y,y,colorato,autunno,pioggia,10,autunno
stivaletto alla caviglia,y,y,scuro,autunno,nuvoloso,6,inverno
scarpa classica,n,y,scuro,primavera_estate,soleggiato,17,autunno
scarpa da ginnastica,y,n,scuro,all,soleggiato,0,inverno
scarpa da ginnastica,y,n,scuro,all,soleggiato,27,estate
stivaletto alla caviglia,n,y,colorato,inverno,soleggiato,2,primavera
scarpe aperte,n,n,scuro,primavera_estate,pioggia,28,estate
stivaletto alla caviglia,y,y,scuro,autunno,nuvoloso,9,inverno
scarpa classica,y,n,colorato,autunno_inverno,pioggia,11,primavera
scarpa da ginnastica,y,n,scuro,inverno,pioggia,8,primavera
scarpe aperte,n,n,colorato,primavera,pioggia,8,primavera
scarpe aperte,n,n,Chiaro,estate,soleggiato,19,autunno
stivaletto alla caviglia,n,n,colorato,autunno,nuvoloso,-1,inverno
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,13,primavera
scarpa da ginnastica,n,n,Chiaro,inverno,nuvoloso,4,inverno
scarpa da ginnastica,y,y,colorato,primavera_estate,pioggia,5,primavera
scarpe aperte,y,n,Chiaro,primavera,pioggia,5,inverno
scarpe con tacchi,n,n,Chiaro,autunno_inverno,nuvoloso,11,primavera
scarpe aperte,n,n,colorato,primavera_estate,soleggiato,27,primavera
scarpe aperte,n,n,scuro,primavera,soleggiato,11,inverno
scarpe con tacchi,n,n,Chiaro,estate,pioggia,13,primavera
scarpa classica,n,y,scuro,inverno,pioggia,21,autunno
stivaletto alla caviglia,n,y,scuro,autunno_inverno,soleggiato,21,autunno
scarpa da ginnastica,y,y,Chiaro,inverno,pioggia,31,estate
scarpa da ginnastica,y,y,scuro,inverno,nuvoloso,29,estate
scarpa classica,n,y,Chiaro,primavera_estate,soleggiato,32,estate
scarpa classica,n,y,colorato,autunno_inverno,soleggiato,28,estate
scarpa classica,y,y,colorato,all,pioggia,24,estate
scarpa classica,n,y,Chiaro,autunno_inverno,soleggiato,7,primavera
stivaletto alla caviglia,n,n,colorato,inverno,pioggia,28,estate
stivaletto alla caviglia,y,y,colorato,autunno_inverno,pioggia,15,autunno
scarpa da ginnastica,y,n,scuro,inverno,pioggia,11,primavera
scarpa da ginnastica,y,y,colorato,primavera_estate,neve,0,inverno
anfibi,y,n,colorato,autunno,pioggia,17,autunno
stivaletto alla caviglia,n,y,scuro,autunno,nuvoloso,6,inverno
scarpa da ginnastica,y,n,colorato,estate,soleggiato,26,estate
scarpa da ginnastica,y,n,colorato,primavera_estate,pioggia,19,primavera
scarpa da ginnastica,y,n,colorato,autunno_inverno,pioggia,20,primavera
scarpa da ginnastica,y,n,scuro,autunno_inverno,soleggiato,19,autunno
scarpa da ginnastica,n,n,scuro,primavera_estate,nuvoloso,0,inverno
scarpa da ginnastica,y,n,scuro,estate,soleggiato,4,primavera
scarpa da ginnastica,y,n,colorato,estate,soleggiato,20,autunno
scarpa da ginnastica,y,y,colorato,all,pioggia,18,autunno
scarpa da ginnastica,n,y,colorato,estate,nuvoloso,-1,inverno
scarpa da ginnastica,y,y,Chiaro,primavera_estate,soleggiato,-1,inverno
stivaletto alla caviglia,n,n,colorato,autunno_inverno,pioggia,13,primavera
stivaletto alla caviglia,y,n,Chiaro,autunno_inverno,soleggiato,5,autunno
stivaletto alla caviglia,n,n,scuro,autunno,nuvoloso,19,autunno
anfibi,n,y,Chiaro,autunno,pioggia,22,estate
scarpe aperte,y,n,Chiaro,primavera,neve,-3,inverno
scarpe aperte,y,n,scuro,primavera_estate,pioggia,11,primavera
scarpe aperte,y,n,scuro,primavera_estate,pioggia,9,autunno
scarpa da ginnastica,n,n,colorato,estate,pioggia,10,inverno
stivaletto alla caviglia,y,y,colorato,inverno,soleggiato,-7,inverno
scarpa classica,n,y,Chiaro,inverno,soleggiato,22,estate
stivaletto alla caviglia,y,y,scuro,inverno,soleggiato,6,inverno
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,pioggia,9,inverno
stivaletto alla caviglia,y,y,colorato,autunno,soleggiato,25,autunno
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,8,primavera
stivaletto alla caviglia,y,y,colorato,autunno_inverno,soleggiato,13,primavera
scarpa da ginnastica,n,y,scuro,all,pioggia,9,autunno
scarpa classica,n,y,Chiaro,all,soleggiato,11,autunno
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,pioggia,20,autunno
scarpa da ginnastica,y,y,scuro,all,soleggiato,-6,primavera
scarpa da ginnastica,n,n,scuro,inverno,soleggiato,17,primavera
scarpa da ginnastica,n,y,colorato,autunno_inverno,soleggiato,6,primavera
scarpa da ginnastica,y,n,scuro,inverno,pioggia,14,autunno
scarpa da ginnastica,y,y,scuro,estate,pioggia,17,estate
stivaletto alla caviglia,y,y,Chiaro,inverno,soleggiato,20,primavera
stivaletto alla caviglia,n,y,scuro,autunno,soleggiato,32,estate
stivaletto alla caviglia,n,y,scuro,autunno_inverno,pioggia,5,inverno
stivaletto alla caviglia,y,y,colorato,inverno,soleggiato,33,estate
stivaletto alla caviglia,y,y,scuro,inverno,nuvoloso,1,primavera
scarpa da ginnastica,n,n,Chiaro,estate,soleggiato,29,estate
stivaletto alla caviglia,n,y,colorato,autunno_inverno,pioggia,17,primavera
stivaletto alla caviglia,y,y,scuro,inverno,nuvoloso,13,primavera
scarpa da ginnastica,n,y,scuro,primavera_estate,pioggia,28,autunno
stivaletto alla caviglia,y,y,Chiaro,autunno_inverno,nuvoloso,2,inverno
scarpa da ginnastica,n,n,scuro,autunno_inverno,pioggia,30,estate
scarpa da ginnastica,n,n,scuro,all,pioggia,28,estate
scarpa classica,y,n,Chiaro,all,soleggiato,7,primavera
scarpa da ginnastica,y,n,colorato,primavera_estate,pioggia,20,autunno
stivaletto alla caviglia,n,y,Chiaro,autunno,pioggia,30,estate
stivaletto alla caviglia,n,y,Chiaro,autunno_inverno,soleggiato,29,estate
scarpe aperte,n,n,scuro,primavera,pioggia,29,estate
scarpa da ginnastica,n,y,scuro,all,nuvoloso,-1,inverno
scarpe con tacchi,n,n,colorato,inverno,pioggia,20,estate
scarpa classica,n,y,Chiaro,primavera_estate,soleggiato,0,inverno
scarpa da ginnastica,n,y,colorato,all,soleggiato,8,inverno
scarpe con tacchi,n,n,colorato,primavera_estate,pioggia,26,estate
scarpe con tacchi,n,n,scuro,inverno,soleggiato,19,primavera
scarpa da ginnastica,n,n,colorato,all,soleggiato,12,primavera
scarpa da ginnastica,n,y,colorato,all,nuvoloso,10,inverno
scarpa da ginnastica,y,n,Chiaro,inverno,pioggia,17,primavera
scarpa da ginnastica,n,y,scuro,autunno_inverno,soleggiato,18,estate
scarpa da ginnastica,n,n,colorato,autunno_inverno,pioggia,11,inverno
scarpa da ginnastica,n,n,scuro,all,soleggiato,20,primavera
scarpe con tacchi,y,n,colorato,primavera_estate,pioggia,9,autunno
stivali,y,y,scuro,inverno,soleggiato,30,estate
stivaletto alla caviglia,y,n,colorato,autunno,pioggia,31,estate
scarpe con tacchi,y,n,scuro,inverno,neve,-2,inverno
scarpe con tacchi,y,n,colorato,autunno_inverno,nuvoloso,5,inverno
scarpa da ginnastica,y,y,scuro,inverno,pioggia,7,inverno
scarpa da ginnastica,n,y,scuro,autunno_inverno,pioggia,6,primavera
scarpa da ginnastica,n,y,colorato,inverno,nuvoloso,2,inverno
stivaletto alla caviglia,y,y,colorato,inverno,nuvoloso,20,autunno
scarpa da ginnastica,n,y,Chiaro,autunno_inverno,nuvoloso,7,primavera
scarpe con tacchi,n,n,colorato,estate,pioggia,7,primavera
scarpe con tacchi,n,n,Chiaro,autunno_inverno,pioggia,22,estate
stivaletto alla caviglia,y,y,scuro,autunno,pioggia,32,estate
stivaletto alla caviglia,n,y,colorato,autunno,soleggiato,1,primavera
scarpa classica,n,y,Chiaro,autunno_inverno,nuvoloso,27,estate
stivaletto alla caviglia,n,y,Chiaro,inverno,soleggiato,23,primavera
stivaletto alla caviglia,n,y,scuro,autunno,pioggia,15,primavera
scarpa da ginnastica,n,n,Chiaro,primavera_estate,pioggia,10,primavera
scarpe con tacchi,y,n,Chiaro,autunno_inverno,nuvoloso,7,primavera
stivaletto alla caviglia,n,y,scuro,inverno,soleggiato,21,autunno
scarpa da ginnastica,n,n,colorato,autunno_inverno,pioggia,6,primavera
stivaletto alla caviglia,n,n,colorato,autunno,soleggiato,5,autunno
scarpa classica,y,y,colorato,all,pioggia,-1,autunno
scarpa classica,y,y,Chiaro,all,nuvoloso,8,inverno
scarpa da ginnastica,y,y,Chiaro,autunno_inverno,pioggia,11,inverno
stivaletto alla caviglia,n,y,colorato,autunno,pioggia,17,autunno
scarpa da ginnastica,y,n,scuro,autunno_inverno,soleggiato,2,inverno
scarpa da ginnastica,y,n,scuro,primavera_estate,soleggiato,16,autunno
scarpa classica,n,y,scuro,all,nuvoloso,12,autunno
scarpa da ginnastica,n,n,colorato,autunno_inverno,pioggia,26,estate
scarpa da ginnastica,y,n,colorato,inverno,nuvoloso,20,primavera
scarpa da ginnastica,y,y,colorato,estate,soleggiato,24,estate
scarpa da ginnastica,y,y,scuro,all,soleggiato,5,inverno
scarpa da ginnastica,n,n,scuro,autunno_inverno,pioggia,6,primavera
scarpa da ginnastica,n,y,Chiaro,estate,soleggiato,9,primavera
scarpa da ginnastica,n,y,colorato,all,pioggia,11,autunno
anfibi,n,y,colorato,autunno_inverno,nuvoloso,13,inverno
scarpa da ginnastica,n,n,scuro,estate,pioggia,10,inverno
scarpa classica,n,n,colorato,primavera_estate,pioggia,17,estate
scarpe con tacchi,n,n,scuro,autunno_inverno,pioggia,14,primavera
scarpa da ginnastica,n,n,Chiaro,autunno_inverno,pioggia,24,estate
scarpe con tacchi,n,n,scuro,autunno_inverno,pioggia,30,estate
scarpa da ginnastica,y,n,colorato,autunno_inverno,pioggia,31,estate
scarpa da ginnastica,n,n,Chiaro,autunno_inverno,neve,0,inverno
scarpa da ginnastica,y,n,scuro,all,soleggiato,19,primavera
scarpa da ginnastica,y,n,colorato,primavera_estate,soleggiato,14,primavera
scarpa da ginnastica,y,y,Chiaro,all,pioggia,6,inverno
scarpe con tacchi,n,n,Chiaro,primavera_estate,pioggia,14,inverno
scarpa da ginnastica,y,n,scuro,inverno,pioggia,24,estate
scarpa da ginnastica,y,n,colorato,estate,soleggiato,10,primavera
scarpa classica,n,y,Chiaro,all,nuvoloso,14,autunno
scarpa da ginnastica,y,y,colorato,primavera_estate,soleggiato,10,primavera
scarpa da ginnastica,y,n,Chiaro,all,pioggia,8,inverno
scarpa da ginnastica,y,n,Chiaro,all,soleggiato,24,primavera
scarpa da ginnastica,n,n,Chiaro,inverno,soleggiato,0,inverno
scarpa da ginnastica,y,n,scuro,autunno_inverno,nuvoloso,5,autunno
scarpa da ginnastica,n,n,colorato,primavera_estate,pioggia,9,inverno
scarpa da ginnastica,n,n,colorato,all,pioggia,24,primavera
scarpa da ginnastica,n,y,colorato,estate,pioggia,14,estate
scarpa classica,n,n,Chiaro,all,soleggiato,30,estate
scarpa da ginnastica,y,y,scuro,autunno_inverno,soleggiato,26,autunno
scarpa da ginnastica,y,y,Chiaro,estate,pioggia,6,autunno
scarpa da ginnastica,y,y,Chiaro,primavera_estate,pioggia,8,inverno
scarpa da ginnastica,n,n,colorato,autunno_inverno,soleggiato,-4,inverno
scarpa da ginnastica,n,n,colorato,autunno_inverno,pioggia,12,inverno
scarpa da ginnastica,n,n,scuro,inverno,pioggia,15,primavera
scarpa da ginnastica,y,y,colorato,primavera_estate,pioggia,6,inverno
scarpa da ginnastica,y,n,Chiaro,inverno,nuvoloso,-7,inverno
scarpa da ginnastica,y,y,scuro,inverno,soleggiato,10,primavera
scarpa da ginnastica,y,n,colorato,estate,pioggia,2,inverno
scarpa da ginnastica,y,n,Chiaro,estate,nuvoloso,23,primavera
anfibi,n,n,scuro,autunno_inverno,pioggia,9,autunno
anfibi,n,n,colorato,autunno_inverno,soleggiato,29,estate
scarpa da ginnastica,y,n,Chiaro,estate,soleggiato,20,autunno
stivaletto alla caviglia,n,y,scuro,autunno_inverno,soleggiato,23,primavera
stivaletto alla caviglia,n,n,Chiaro,autunno,pioggia,26,autunno
stivaletto alla caviglia,n,n,Chiaro,autunno,soleggiato,11,primavera
scarpa da ginnastica,n,y,scuro,all,soleggiato,8,primavera
scarpe con tacchi,n,n,scuro,inverno,soleggiato,2,primavera
scarpe con tacchi,n,n,Chiaro,estate,pioggia,6,inverno
scarpe aperte,y,n,scuro,estate,soleggiato,5,inverno
scarpa da ginnastica,y,n,Chiaro,inverno,soleggiato,24,primavera
scarpe aperte,n,n,colorato,estate,soleggiato,11,primavera
stivaletto alla caviglia,y,y,Chiaro,autunno,pioggia,24,estate
stivaletto alla caviglia,y,y,scuro,autunno_inverno,neve,1,inverno
scarpa da ginnastica,y,y,colorato,inverno,pioggia,5,primavera
